n,alg,h,time,value
82,MC-Link,40,674.6839623451233,162360.0
83,MC-Link,40,718.8590040206909,167400.0
84,MC-Link,40,768.6130001544952,172520.0
85,MC-Link,40,832.7980501651764,177720.0
86,MC-Link,40,859.7991621494293,183000.0
87,MC-Link,40,906.0470681190491,188360.0
88,MC-Link,40,959.2854580879211,193800.0
89,MC-Link,40,1038.970445394516,199320.0
90,MC-Link,40,1081.5351672172546,204920.0
91,MC-Link,40,1148.0173244476318,210600.0
92,MC-Link,40,1202.5112431049347,216360.0
93,MC-Link,40,1253.215085029602,222200.0
94,MC-Link,40,1336.7351484298706,228120.0
95,MC-Link,40,1390.4940166473389,234120.0
96,MC-Link,40,1462.922506570816,240200.0
97,MC-Link,40,1560.7403950691223,246360.0
98,MC-Link,40,1612.3823628425598,252600.0
99,MC-Link,40,1712.3410651683807,258920.0
100,MC-Link,40,1770.9524250030518,265320.0
50,MC-Link,50,61.40164828300476,44150.0
51,MC-Link,50,69.02725529670715,46750.0
52,MC-Link,50,77.23569107055664,49450.0
53,MC-Link,50,86.94826126098633,52250.0
54,MC-Link,50,96.09089136123657,55150.0
55,MC-Link,50,106.2082896232605,58150.0
56,MC-Link,50,119.53061294555664,61250.0
57,MC-Link,50,130.49019622802734,64450.0
58,MC-Link,50,143.61181902885437,67750.0
59,MC-Link,50,155.58248114585876,71150.0
60,MC-Link,50,172.05102109909058,74650.0
61,MC-Link,50,183.75469493865967,78250.0
62,MC-Link,50,206.75986623764038,81950.0
63,MC-Link,50,221.1598882675171,85750.0
64,MC-Link,50,237.68556094169617,89650.0
65,MC-Link,50,252.03483128547668,93650.0
66,MC-Link,50,276.72126936912537,97750.0
67,MC-Link,50,293.6017587184906,101950.0
68,MC-Link,50,312.1015570163727,106250.0
69,MC-Link,50,344.0185387134552,110650.0
70,MC-Link,50,376.1682813167572,115150.0
71,MC-Link,50,406.3268733024597,119750.0
72,MC-Link,50,414.38140869140625,124450.0
73,MC-Link,50,448.9792516231537,129250.0
74,MC-Link,50,482.7892315387726,134150.0
75,MC-Link,50,510.0095000267029,139150.0
76,MC-Link,50,541.5182673931122,144250.0
77,MC-Link,50,577.6001317501068,149450.0
78,MC-Link,50,648.0330612659454,154750.0
79,MC-Link,50,682.050544500351,160150.0
80,MC-Link,50,727.7800588607788,165650.0
81,MC-Link,50,781.6110191345215,171250.0
82,MC-Link,50,849.7444121837616,176950.0
83,MC-Link,50,887.996248960495,182750.0
84,MC-Link,50,954.5417122840881,188650.0
85,MC-Link,50,995.7622468471527,194650.0
86,MC-Link,50,1069.092132806778,200750.0
87,MC-Link,50,1121.0167286396027,206950.0
88,MC-Link,50,1200.4453258514404,213250.0
89,MC-Link,50,1278.9080595970154,219650.0
90,MC-Link,50,1373.0956065654755,226150.0
91,MC-Link,50,1432.6139168739319,232750.0
92,MC-Link,50,1546.2663757801056,239450.0
93,MC-Link,50,1562.1173009872437,246250.0
94,MC-Link,50,1667.845936536789,253150.0
95,MC-Link,50,1727.4536333084106,260150.0
96,MC-Link,50,1846.8016233444214,267250.0
97,MC-Link,50,1931.5162434577942,274450.0
98,MC-Link,50,2018.0381813049316,281750.0
99,MC-Link,50,2145.6486690044403,289150.0
100,MC-Link,50,2189.2179963588715,296650.0
60,MC-Link,60,185.07431745529175,75580.0
61,MC-Link,60,203.82528638839722,79300.0
62,MC-Link,60,223.30762267112732,83140.0
63,MC-Link,60,242.21143674850464,87100.0
64,MC-Link,60,263.5735082626343,91180.0
65,MC-Link,60,284.1491189002991,95380.0
66,MC-Link,60,309.3629779815674,99700.0
67,MC-Link,60,327.55795097351074,104140.0
68,MC-Link,60,356.6492910385132,108700.0
69,MC-Link,60,388.164653301239,113380.0
70,MC-Link,60,422.6006910800934,118180.0
71,MC-Link,60,453.41804122924805,123100.0
72,MC-Link,60,483.42935132980347,128140.0
73,MC-Link,60,510.2108588218689,133300.0
74,MC-Link,60,554.052404165268,138580.0
75,MC-Link,60,597.2478215694427,143980.0
76,MC-Link,60,630.8723754882812,149500.0
77,MC-Link,60,685.006121635437,155140.0
78,MC-Link,60,727.9053514003754,160900.0
79,MC-Link,60,802.1687490940094,166780.0
80,MC-Link,60,854.1311504840851,172780.0
81,MC-Link,60,930.7572078704834,178900.0
82,MC-Link,60,964.2125945091248,185140.0
83,MC-Link,60,1032.9957242012024,191500.0
84,MC-Link,60,1094.3792655467987,197980.0
85,MC-Link,60,1186.270932674408,204580.0
86,MC-Link,60,1247.740565776825,211300.0
87,MC-Link,60,1317.3837795257568,218140.0
88,MC-Link,60,1381.7621612548828,225100.0
89,MC-Link,60,1468.776097536087,232180.0
90,MC-Link,60,1592.963608264923,239380.0
91,MC-Link,60,1718.5676662921906,246700.0
92,MC-Link,60,1765.43710064888,254140.0
93,MC-Link,60,1838.5045793056488,261700.0
94,MC-Link,60,1981.1465651988983,269380.0
95,MC-Link,60,2051.1225576400757,277180.0
96,MC-Link,60,2170.697032690048,285100.0
97,MC-Link,60,2256.5566136837006,293140.0
98,MC-Link,60,2360.3979618549347,301300.0
99,MC-Link,60,2490.870229959488,309580.0
100,MC-Link,60,2612.8090443611145,317980.0
70,MC-Link,70,447.5255627632141,119210.0
71,MC-Link,70,485.99340772628784,124250.0
72,MC-Link,70,517.3089823722839,129430.0
73,MC-Link,70,561.2203605175018,134750.0
74,MC-Link,70,601.1393103599548,140210.0
75,MC-Link,70,643.822167634964,145810.0
76,MC-Link,70,690.0583350658417,151550.0
77,MC-Link,70,739.7090513706207,157430.0
78,MC-Link,70,823.1141273975372,163450.0
79,MC-Link,70,879.7886850833893,169610.0
80,MC-Link,70,952.6917192935944,175910.0
81,MC-Link,70,1015.4512913227081,182350.0
82,MC-Link,70,1112.726191997528,188930.0
83,MC-Link,70,1148.215653181076,195650.0
84,MC-Link,70,1243.0402615070343,202510.0
85,MC-Link,70,1311.7421097755432,209510.0
86,MC-Link,70,1396.9699685573578,216650.0
87,MC-Link,70,1489.3400752544403,223930.0
88,MC-Link,70,1590.5656502246857,231350.0
89,MC-Link,70,1686.3283581733704,238910.0
90,MC-Link,70,1808.2541649341583,246610.0
91,MC-Link,70,1952.283751487732,254450.0
92,MC-Link,70,2041.6679742336273,262430.0
93,MC-Link,70,2098.4384496212006,270550.0
94,MC-Link,70,2251.544919490814,278810.0
95,MC-Link,70,2383.1046929359436,287210.0
96,MC-Link,70,2491.62642121315,295750.0
97,MC-Link,70,2587.9341130256653,304430.0
98,MC-Link,70,2754.9714233875275,313250.0
99,MC-Link,70,2830.595734834671,322210.0
100,MC-Link,70,2998.949521780014,331310.0
80,MC-Link,80,997.7148189544678,177040.0
81,MC-Link,80,1069.6361067295074,183600.0
82,MC-Link,80,1164.4339303970337,190320.0
83,MC-Link,80,1258.6956973075867,197200.0
84,MC-Link,80,1332.9430985450745,204240.0
85,MC-Link,80,1441.2068150043488,211440.0
86,MC-Link,80,1551.4867687225342,218800.0
87,MC-Link,80,1663.909169435501,226320.0
88,MC-Link,80,1758.0096130371094,234000.0
89,MC-Link,80,1911.931227684021,241840.0
90,MC-Link,80,1976.0176813602448,249840.0
91,MC-Link,80,2145.510619878769,258000.0
92,MC-Link,80,2209.8628001213074,266320.0
93,MC-Link,80,2356.077253341675,274800.0
94,MC-Link,80,2489.6890709400177,283440.0
95,MC-Link,80,2642.2259340286255,292240.0
96,MC-Link,80,2729.5619757175446,301200.0
97,MC-Link,80,2941.5337750911713,310320.0
98,MC-Link,80,3033.7162606716156,319600.0
99,MC-Link,80,3242.4135932922363,329040.0
100,MC-Link,80,3336.487317800522,338640.0
90,MC-Link,90,2023.2380442619324,251070.0
91,MC-Link,90,2196.1002745628357,259350.0
92,MC-Link,90,2330.333930492401,267810.0
93,MC-Link,90,2465.15034198761,276450.0
94,MC-Link,90,2596.5108127593994,285270.0
95,MC-Link,90,2785.361658811569,294270.0
96,MC-Link,90,2931.5358827114105,303450.0
97,MC-Link,90,3101.1375167369843,312810.0
98,MC-Link,90,3267.4838275909424,322350.0
99,MC-Link,90,3448.3072803020477,332070.0
100,MC-Link,90,3603.3830392360687,341970.0
100,MC-Link,100,3697.5956284999847,343300.0
